Order Id, Status, CreatedOn, SKU Refs, Required Quantity, Price
950916,ORDER_IN_ERROR,2020-12-27T17:01:01.032Z,41291400,1,349.5
950916,ORDER_IN_ERROR,2020-12-27T17:01:01.032Z,41152859,1,299.5
932560,Asignado,2020-12-24T18:45:23.140Z,38866505,1,1883
932495,Entregado HD,2020-12-24T18:26:53.395Z,40840468,1,383.2
932460,Fulfilment en Proceso,2020-12-24T18:18:13.901Z,11199753,1,890
932362,Entregado HD,2020-12-24T17:56:51.679Z,41286259,1,314.3
932362,Entregado HD,2020-12-24T17:56:51.679Z,40809787,1,265.3
932268,Asignado,2020-12-24T17:33:41.889Z,40779705,1,1609.3
905608,ORDER_IN_ERROR,2020-12-19T03:35:07.772Z,39270618,1,4190
873472,ORDER_IN_ERROR,2020-12-08T08:17:18.450Z,40338135,1,16409
862378,Entregado HD,2020-12-04T15:35:13.900Z,39059070,2,152
862124,ORDER_IN_ERROR,2020-12-04T07:09:07.800Z,41317414,1,799
862124,ORDER_IN_ERROR,2020-12-04T07:09:07.800Z,41317402,1,799
862108,ORDER_IN_ERROR,2020-12-04T06:52:29.429Z,41048206,1,5943
862108,ORDER_IN_ERROR,2020-12-04T06:52:29.429Z,41145115,1,2373
862108,ORDER_IN_ERROR,2020-12-04T06:52:29.429Z,41145254,1,3633
862103,ORDER_IN_ERROR,2020-12-04T06:48:45.261Z,41212808,1,419.3
862103,ORDER_IN_ERROR,2020-12-04T06:48:45.261Z,40514440,1,2443
