Order Id, Status, CreatedOn, SKU Refs, Required Quantity, Price
251283,Solicitud de Devolución Iniciada,2020-06-30T23:18:02.504Z,40671373,1,895
250934,Orden con Cancelacion,2020-06-30T22:16:05.284Z,40594406,1,321.3
250672,Cancelado,2020-06-30T21:27:30.435Z,40199135,1,1756
250672,Cancelado,2020-06-30T21:27:30.435Z,40428685,1,1149.5
248268,Fulfilment con Cancelacion,2020-06-30T14:24:13.048Z,40525081,1,165
248003,Orden con Cancelacion,2020-06-30T08:00:09.221Z,37582061,1,840
247532,Fulfilment con Cancelacion,2020-06-30T04:21:52.909Z,40527299,1,1183
247116,Solicitud de Devolución Iniciada,2020-06-30T02:58:59.759Z,39301416,1,840
247116,Solicitud de Devolución Iniciada,2020-06-30T02:58:59.759Z,40102369,1,559.2
247116,Solicitud de Devolución Iniciada,2020-06-30T02:58:59.759Z,40758107,1,840
247036,Orden con Cancelacion,2020-06-30T02:42:26.120Z,40298378,1,499
247036,Orden con Cancelacion,2020-06-30T02:42:26.120Z,40509139,1,209.3
246861,Solicitud de Devolución Iniciada,2020-06-30T02:08:16.672Z,39304536,24,49
246861,Solicitud de Devolución Iniciada,2020-06-30T02:08:16.672Z,40459164,5,799
246695,Fulfilment con Cancelacion,2020-06-30T01:34:48.896Z,40523121,1,995
246620,Orden con Cancelacion,2020-06-30T01:19:33.921Z,39413864,2,445
246563,Fulfilment en Proceso,2020-06-30T01:07:46.629Z,40200029,1,289.5
246523,Orden con Cancelacion,2020-06-30T01:00:29.341Z,40143232,1,355
246302,Orden con Cancelacion,2020-06-30T00:17:01.108Z,40449961,1,127.2
246243,Orden con Cancelacion,2020-06-30T00:07:33.622Z,40758843,1,359.4
245927,Orden con Cancelacion,2020-06-29T23:12:59.147Z,40758914,1,254.5
245927,Orden con Cancelacion,2020-06-29T23:12:59.147Z,40504440,1,239.4
245927,Orden con Cancelacion,2020-06-29T23:12:59.147Z,40522195,1,194.5
245927,Orden con Cancelacion,2020-06-29T23:12:59.147Z,40504524,1,300.3
245827,Orden con Cancelacion,2020-06-29T22:51:27.649Z,40657192,1,343
245827,Orden con Cancelacion,2020-06-29T22:51:27.649Z,40623551,1,445
245827,Orden con Cancelacion,2020-06-29T22:51:27.649Z,40657127,1,273
245173,Solicitud de Devolución Iniciada,2020-06-29T20:29:58.580Z,40541445,1,269.55
244690,Orden con Cancelacion,2020-06-29T18:49:55.993Z,40517932,1,249.5
242873,Fulfilment en Proceso,2020-06-29T04:36:29.071Z,40618203,1,295
242873,Fulfilment en Proceso,2020-06-29T04:36:29.071Z,40353942,1,209.3
242873,Fulfilment en Proceso,2020-06-29T04:36:29.071Z,36732334,1,279.2
242868,Orden con Cancelacion,2020-06-29T04:32:47.652Z,40265835,1,45
242868,Orden con Cancelacion,2020-06-29T04:32:47.652Z,40265839,1,45
242868,Orden con Cancelacion,2020-06-29T04:32:47.652Z,40265851,2,45
242868,Orden con Cancelacion,2020-06-29T04:32:47.652Z,40265841,1,45
242785,Solicitud de Devolución Iniciada,2020-06-29T04:12:37.464Z,40007020,1,1920
242785,Solicitud de Devolución Iniciada,2020-06-29T04:12:37.464Z,40633034,1,1919.2
242785,Solicitud de Devolución Iniciada,2020-06-29T04:12:37.464Z,40835758,1,2030
242785,Solicitud de Devolución Iniciada,2020-06-29T04:12:37.464Z,40397256,1,1995
242785,Solicitud de Devolución Iniciada,2020-06-29T04:12:37.464Z,40953257,1,2835
242785,Solicitud de Devolución Iniciada,2020-06-29T04:12:37.464Z,40245919,1,2199
242785,Solicitud de Devolución Iniciada,2020-06-29T04:12:37.464Z,40659955,1,639.2
242600,Orden con Cancelacion,2020-06-29T03:25:49.112Z,40564552,1,175
242600,Orden con Cancelacion,2020-06-29T03:25:49.112Z,40602331,1,449
242455,Solicitud de Devolución Iniciada,2020-06-29T02:45:15.528Z,40913438,1,839.3
242138,Orden con Cancelacion,2020-06-29T01:33:27.083Z,40475952,1,279.3
242041,Orden con Cancelacion,2020-06-29T01:15:04.243Z,40226992,1,495
242041,Orden con Cancelacion,2020-06-29T01:15:04.243Z,40700598,1,345
241839,Orden con Cancelacion,2020-06-29T00:31:54.357Z,40596092,1,1183
241839,Orden con Cancelacion,2020-06-29T00:31:54.357Z,40472683,1,299.4
241839,Orden con Cancelacion,2020-06-29T00:31:54.357Z,40502280,2,230.3
241839,Orden con Cancelacion,2020-06-29T00:31:54.357Z,40794517,1,689.5
241839,Orden con Cancelacion,2020-06-29T00:31:54.357Z,40657192,1,343
241839,Orden con Cancelacion,2020-06-29T00:31:54.357Z,40386107,1,349.3
241839,Orden con Cancelacion,2020-06-29T00:31:54.357Z,40472681,1,299.4
241658,Orden con Cancelacion,2020-06-28T23:54:34.311Z,40200431,1,559
241257,Solicitud de Devolución Iniciada,2020-06-28T22:27:09.358Z,40502445,1,257.4
240661,Orden con Cancelacion,2020-06-28T19:52:55.938Z,40253483,1,499
240560,Cancelado por Validacion,2020-06-28T19:28:48.888Z,40133108,1,395
240329,Orden con Cancelacion,2020-06-28T18:34:51.145Z,40886389,1,660
240329,Orden con Cancelacion,2020-06-28T18:34:51.145Z,40887005,1,1920
240329,Orden con Cancelacion,2020-06-28T18:34:51.145Z,40887017,1,1920
238827,Fulfilment en Proceso,2020-06-28T03:42:53.903Z,40752615,1,345
238674,Solicitud de Devolución Iniciada,2020-06-28T02:57:34.972Z,40473206,1,370.3
237692,Orden con Cancelacion,2020-06-27T23:10:20.321Z,40133495,1,99
235089,Orden con Cancelacion,2020-06-27T04:44:18.903Z,40509547,1,274.5
235089,Orden con Cancelacion,2020-06-27T04:44:18.903Z,40827289,1,574
235089,Orden con Cancelacion,2020-06-27T04:44:18.903Z,40827241,1,574
234835,Orden con Cancelacion,2020-06-27T03:28:42.256Z,40354097,1,221.4
234516,Orden con Cancelacion,2020-06-27T02:03:53.233Z,40503303,1,197.4
231121,Solicitud de Devolución Iniciada,2020-06-26T07:01:06.640Z,40260069,1,436
230797,Orden con Cancelacion,2020-06-26T04:38:22.506Z,40517069,1,645
230797,Orden con Cancelacion,2020-06-26T04:38:22.506Z,40634174,1,645
230797,Orden con Cancelacion,2020-06-26T04:38:22.506Z,40769776,1,1194
230132,Orden con Cancelacion,2020-06-26T02:13:50.756Z,40657192,1,343
230132,Orden con Cancelacion,2020-06-26T02:13:50.756Z,40763568,1,294
230132,Orden con Cancelacion,2020-06-26T02:13:50.756Z,40639422,1,249.5
230132,Orden con Cancelacion,2020-06-26T02:13:50.756Z,40621478,1,279.3
230035,Cancelado por Validacion,2020-06-26T01:54:15.759Z,40354095,1,221.4
230035,Cancelado por Validacion,2020-06-26T01:54:15.759Z,40276525,1,489.3
230035,Cancelado por Validacion,2020-06-26T01:54:15.759Z,40624738,1,395
230035,Cancelado por Validacion,2020-06-26T01:54:15.759Z,40354078,1,209.3
229992,Orden con Cancelacion,2020-06-26T01:46:03.658Z,40123992,1,799.2
229992,Orden con Cancelacion,2020-06-26T01:46:03.658Z,39909116,1,111.3
229642,Orden con Cancelacion,2020-06-26T00:45:21.703Z,40075359,1,2574.5
229642,Orden con Cancelacion,2020-06-26T00:45:21.703Z,40467177,1,3672
229642,Orden con Cancelacion,2020-06-26T00:45:21.703Z,40190471,1,2093
228857,Fulfilment con Cancelacion,2020-06-25T22:40:15.748Z,39693651,1,1899
228802,Orden con Cancelacion,2020-06-25T22:30:26.174Z,40958821,1,220
