Order Id, Status, CreatedOn, SKU Refs, Required Quantity, Price
679445,Solicitud de Devolución Iniciada,2020-10-30T19:35:25.955Z,41268752,1,801
679377,CREATED,2020-10-30T19:14:50.675Z,41147708,1,839.3
679375,CREATED,2020-10-30T19:13:30.568Z,41238943,1,2519.3
679369,Asignado,2020-10-30T19:11:41.340Z,37262886,1,1798.3
679367,Solicitud de Devolución Iniciada,2020-10-30T19:11:18.507Z,40580222,1,2961
679367,Solicitud de Devolución Iniciada,2020-10-30T19:11:18.507Z,41154352,1,1611
679367,Solicitud de Devolución Iniciada,2020-10-30T19:11:18.507Z,40551412,1,1791
679367,Solicitud de Devolución Iniciada,2020-10-30T19:11:18.507Z,40552552,1,1341
679367,Solicitud de Devolución Iniciada,2020-10-30T19:11:18.507Z,37994132,1,2961
678516,Entregado Parcial,2020-10-30T07:15:27.454Z,40467445,1,2199.5
678438,ORDER_IN_ERROR,2020-10-30T06:01:34.668Z,40939423,2,1609.3
644668,Solicitud de Devolución Iniciada,2020-10-21T01:26:56.432Z,40767799,1,2653
644665,Entregado Parcial,2020-10-21T01:25:41.933Z,39971342,1,76
644665,Entregado Parcial,2020-10-21T01:25:41.933Z,39007799,4,34.3
644665,Entregado Parcial,2020-10-21T01:25:41.933Z,40840833,2,399.2
644657,Fulfilment con Cancelacion,2020-10-21T01:22:49.062Z,40847948,1,1603
644621,Entregado HD,2020-10-21T01:15:48.492Z,40613222,1,639.2
644621,Entregado HD,2020-10-21T01:15:48.492Z,40958301,1,90.3
644610,CREATED,2020-10-21T01:12:54.775Z,41132420,1,0
644610,CREATED,2020-10-21T01:12:54.775Z,41132417,1,0
644610,CREATED,2020-10-21T01:12:54.775Z,41143469,1,0
644596,ORDER_IN_ERROR,2020-10-21T01:06:08.717Z,41136964,1,0
644592,ORDER_IN_ERROR,2020-10-21T01:05:43.699Z,40222810,1,1063.2
644131,Fulfilment con Cancelacion,2020-10-20T23:08:18.095Z,40761746,1,769.3
642427,CREATED,2020-10-20T16:34:08.784Z,41136964,1,0
642426,ORDER_IN_ERROR,2020-10-20T16:33:35.252Z,41132418,1,0
642426,ORDER_IN_ERROR,2020-10-20T16:33:35.252Z,41276680,1,0
642426,ORDER_IN_ERROR,2020-10-20T16:33:35.252Z,41132421,1,0
642420,Cancelado,2020-10-20T16:32:00.668Z,39896441,1,13690
642401,CREATED,2020-10-20T16:28:28.099Z,41134480,1,0
642399,CREATED,2020-10-20T16:26:32.328Z,41132418,1,0
642399,CREATED,2020-10-20T16:26:32.328Z,41132419,1,0
642399,CREATED,2020-10-20T16:26:32.328Z,41134017,1,0
642397,ORDER_IN_ERROR,2020-10-20T16:26:20.150Z,40997522,1,319.2
642395,CREATED,2020-10-20T16:25:29.986Z,41132419,1,0
642394,Cancelado por Validacion,2020-10-20T16:25:15.150Z,40715821,1,0
642394,Cancelado por Validacion,2020-10-20T16:25:15.150Z,40718606,1,2400
642394,Cancelado por Validacion,2020-10-20T16:25:15.150Z,40721302,1,1915
642394,Cancelado por Validacion,2020-10-20T16:25:15.150Z,40716916,1,2875
642394,Cancelado por Validacion,2020-10-20T16:25:15.150Z,40929573,1,0
642393,CREATED,2020-10-20T16:24:47.457Z,41134018,1,0
642392,Cancelado por Validacion,2020-10-20T16:23:21.851Z,41248705,1,1352
642392,Cancelado por Validacion,2020-10-20T16:23:21.851Z,39301431,1,1352
642386,Asignado,2020-10-20T16:21:27.325Z,40597858,1,2595
642385,CREATED,2020-10-20T16:21:25.637Z,41132419,1,0
642384,Asignado,2020-10-20T16:20:52.883Z,41275744,1,4059.3
642382,Fulfilment con Cancelacion,2020-10-20T16:19:56.162Z,39888922,1,379.5
642380,Asignado,2020-10-20T16:18:24.148Z,39268834,1,1119.3
642379,Asignado,2020-10-20T16:18:01.352Z,41149759,1,349.3
642375,Asignado,2020-10-20T16:15:02.119Z,40932194,1,639.2
642374,Cancelado por Validacion,2020-10-20T16:14:57.372Z,40488908,1,9899
642370,Asignado,2020-10-20T16:13:35.185Z,40616314,1,314.3
642370,Asignado,2020-10-20T16:13:35.185Z,40616254,1,279.3
642368,CREATED,2020-10-20T16:13:20.908Z,41132420,1,0
642368,CREATED,2020-10-20T16:13:20.908Z,41276680,1,0
642365,Cancelado,2020-10-20T16:10:56.612Z,40776472,1,16663.2
642359,Asignado,2020-10-20T16:08:17.383Z,36452201,1,237.3
642359,Asignado,2020-10-20T16:08:17.383Z,40962071,1,308
642359,Asignado,2020-10-20T16:08:17.383Z,38981436,1,550
642359,Asignado,2020-10-20T16:08:17.383Z,40478594,1,182.5
642359,Asignado,2020-10-20T16:08:17.383Z,36049308,1,274.5
642359,Asignado,2020-10-20T16:08:17.383Z,41150026,1,623.2
642359,Asignado,2020-10-20T16:08:17.383Z,36820324,1,251.3
642352,CREATED,2020-10-20T16:06:24.229Z,41276680,1,0
642351,Cancelado,2020-10-20T16:06:04.990Z,41303127,1,1399
642348,Cancelado,2020-10-20T16:04:41.093Z,40472060,1,18019
