Order ID, SKU Ref, Required Quantity, Price
826993,41277650,1,19219
795813,40803926,1,979.3
795637,41202498,1,629.3
788039,40674574,1,1323
783658,39862369,1,749.7
783471,40927378,1,380
783471,36311443,1,195.3
783471,41301690,1,419.3
783471,40408871,1,595
783469,38740078,1,227.4
783285,41369907,1,2190
783285,41370652,1,1490
783285,41370423,1,490
783285,41369865,1,1490
783285,41229945,1,3999
783284,39537712,1,1319.4
783284,40809319,1,1937.4
783284,40577233,1,1601.4
783284,39537711,1,1019.4
779279,40761643,1,549.5
773353,30739025,3,597
772615,41256691,1,83.3
748325,41259903,1,1253
748325,40950818,1,1323
748325,41006347,1,903
748325,41314574,1,3703
748325,41050389,1,840
748321,40969249,1,1329.3
748295,40852229,1,5394
747062,38090604,1,2245
747061,41281976,1,11059
737430,40782849,1,245
728362,38701360,1,769.3
728362,41193603,1,1540
728361,41376822,1,1149
728352,41192482,1,1539.3
726736,40420235,1,1899
723838,37516707,1,377.3
723838,40776677,1,559.3
723838,17531442,1,224
723838,38981422,1,735
723838,38171081,1,519
723838,41286536,1,888.3
723838,31243997,1,300.3
689676,39956727,1,319.2
689673,41376822,1,1149
Order ID, SKU Ref, Required Quantity, Price
679445,41268752,1,801
679377,41147708,1,839.3
679375,41238943,1,2519.3
679369,37262886,1,1798.3
679367,40580222,1,2961
679367,41154352,1,1611
679367,40551412,1,1791
679367,40552552,1,1341
679367,37994132,1,2961
678516,40467445,1,2199.5
678438,40939423,2,1609.3
644668,40767799,1,2653
644665,39971342,1,76
644665,39007799,4,34.3
644665,40840833,2,399.2
644657,40847948,1,1603
644621,40613222,1,639.2
644621,40958301,1,90.3
644610,41132420,1,0
644610,41132417,1,0
644610,41143469,1,0
644596,41136964,1,0
644592,40222810,1,1063.2
644131,40761746,1,769.3
642427,41136964,1,0
642426,41132418,1,0
642426,41276680,1,0
642426,41132421,1,0
642420,39896441,1,13690
642401,41134480,1,0
642399,41132418,1,0
642399,41132419,1,0
642399,41134017,1,0
642397,40997522,1,319.2
642395,41132419,1,0
642394,40715821,1,0
642394,40718606,1,2400
642394,40721302,1,1915
642394,40716916,1,2875
642394,40929573,1,0
642393,41134018,1,0
642392,41248705,1,1352
642392,39301431,1,1352
642386,40597858,1,2595
642385,41132419,1,0
642384,41275744,1,4059.3
642382,39888922,1,379.5
642380,39268834,1,1119.3
642379,41149759,1,349.3
642375,40932194,1,639.2
642374,40488908,1,9899
642370,40616314,1,314.3
642370,40616254,1,279.3
642368,41132420,1,0
642368,41276680,1,0
642365,40776472,1,16663.2
642359,36452201,1,237.3
642359,40962071,1,308
642359,38981436,1,550
642359,40478594,1,182.5
642359,36049308,1,274.5
642359,41150026,1,623.2
642359,36820324,1,251.3
642352,41276680,1,0
642351,41303127,1,1399
642348,40472060,1,18019
640125,41134018,1,0
640118,41134009,1,0
640118,41134018,1,0
640118,41134017,1,0
640113,30515297,1,455
640113,41134238,1,601.6
640113,40962582,1,495.2
640105,40894527,1,12319.45
639825,41134009,1,0
639824,41132420,1,0
637060,37994780,1,29.75
610446,39029741,1,20.7
591884,38881377,1,1550
578722,39009932,1,8459.1
