Order Id, Status, CreatedOn, SKU Refs
392880,Fulfilment con Cancelacion,2020-07-31T22:40:56.365Z,{'40607006'}
392559,Fulfilment con Cancelacion,2020-07-31T21:50:44.374Z,{'39394500'}
391386,Fulfilment en Proceso,2020-07-31T18:32:03.437Z,{'40650685'}
391297,Orden con Cancelacion,2020-07-31T18:16:56.834Z,{'40503364'}
391189,Solicitud de Devolución Iniciada,2020-07-31T18:02:05.834Z,{'40580700', '40182130'}
391004,Asignado,2020-07-31T17:33:21.779Z,{'40554568'}
391000,Review,2020-07-31T17:32:33.582Z,{'37698606'}
390996,Asignado,2020-07-31T17:31:43.953Z,{'40526189'}
390982,Asignado,2020-07-31T17:26:58.055Z,{'40346912'}
390975,Asignado,2020-07-31T17:25:16.891Z,{'40368674', '41149040', '37556347'}
390972,Asignado,2020-07-31T17:24:09.920Z,{'40452125'}
390958,Orden con Cancelacion,2020-07-31T17:21:52.385Z,{'40428045', '40428046'}
390956,Asignado,2020-07-31T17:21:20.980Z,{'40193790', '40604732'}
390954,Cancelado,2020-07-31T17:21:16.131Z,{'37654996'}
390952,Asignado,2020-07-31T17:20:45.117Z,{'38422414'}
390951,Asignado,2020-07-31T17:20:20.367Z,{'41049888', '41049880', '40898389', '41095276'}
390950,Asignado,2020-07-31T17:19:47.104Z,{'40656797', '40580760'}
390943,Asignado,2020-07-31T17:19:05.547Z,{'40582410'}
390927,Asignado,2020-07-31T17:16:03.745Z,{'40467142'}
390922,Review,2020-07-31T17:13:35.619Z,{'40611815'}
390914,Asignado,2020-07-31T17:11:56.363Z,{'40560770', '40560765'}
390911,Asignado,2020-07-31T17:11:07.017Z,{'40566871', '40607231'}
390908,Asignado,2020-07-31T17:10:51.273Z,{'40640304', '40881429'}
390905,Asignado,2020-07-31T17:10:27.724Z,{'41133744'}
390894,Asignado,2020-07-31T17:07:20.328Z,{'36617238'}
390889,Asignado,2020-07-31T17:06:02.675Z,{'40537049', '40101054', '40657675', '40535782'}
390879,Asignado,2020-07-31T17:03:18.292Z,{'40442820'}
390867,Asignado,2020-07-31T16:59:07.909Z,{'40310611', '40796045'}
390854,Asignado,2020-07-31T16:55:44.928Z,{'39856387'}
390853,Cancelado,2020-07-31T16:55:00.998Z,{'39586258', '40332012'}
390848,Asignado,2020-07-31T16:53:50.761Z,{'41149326'}
390836,Solicitud de Devolución Iniciada,2020-07-31T16:50:03.706Z,{'39007772', '39971265', '38854043', '38854055', '39007784', '39007814'}
390833,Asignado,2020-07-31T16:49:33.823Z,{'40827342'}
390826,Asignado,2020-07-31T16:48:51.429Z,{'40749147'}
390824,Asignado,2020-07-31T16:48:37.730Z,{'40294886'}
389385,Fulfilment en Proceso,2020-07-31T06:13:57.323Z,{'40904207'}
388041,Solicitud de Devolución Iniciada,2020-07-31T00:04:42.880Z,{'38296355'}
387432,Fulfilment en Proceso,2020-07-30T22:00:16.447Z,{'39703200'}
386079,Cancelado,2020-07-30T16:22:43.405Z,{'40526466'}
385557,Cancelado,2020-07-30T12:33:08.041Z,{'40904483'}
