Order Id, Status, CreatedOn, SKU Refs, Required Quantity, Price
577226,Cancelado,2020-09-30T16:02:50.622Z,39054452,1,535.5
574968,Cancelado,2020-09-28T19:33:08.312Z,39873392,1,1990
574959,Entregado HD,2020-09-28T19:25:46.914Z,40747110,1,2599
574958,Asignado,2020-09-28T19:25:04.628Z,40831579,1,233.7
574954,Asignado,2020-09-28T19:22:44.490Z,41148920,1,1099
574950,Asignado,2020-09-28T19:21:43.501Z,40831409,1,119.7
574947,Cancelado,2020-09-28T19:17:18.615Z,41143406,1,2299
574946,Cancelado,2020-09-28T19:16:09.755Z,40749448,1,1105
574926,Cancelado,2020-09-28T18:56:36.982Z,41204245,1,0
574926,Cancelado,2020-09-28T18:56:36.982Z,40430343,1,13509
574924,Asignado,2020-09-28T18:55:17.319Z,39364908,1,410
574923,Cancelado,2020-09-28T18:54:24.639Z,41022642,1,3790
574922,Asignado,2020-09-28T18:53:59.593Z,40675814,1,2599
574920,Cancelado,2020-09-28T18:52:34.915Z,38745602,1,25.5
574919,Cancelado,2020-09-28T18:51:21.930Z,40878458,1,350
574915,Asignado,2020-09-28T18:47:12.226Z,40144025,1,2959.2
574912,Asignado,2020-09-28T18:43:43.839Z,39414310,1,25.8
574912,Asignado,2020-09-28T18:43:43.839Z,18289417,1,7.4
574912,Asignado,2020-09-28T18:43:43.839Z,36777296,1,55.5
574912,Asignado,2020-09-28T18:43:43.839Z,11167815,1,27.6
574912,Asignado,2020-09-28T18:43:43.839Z,39544704,3,79.2
574911,Asignado,2020-09-28T18:43:07.600Z,41204245,1,0
574911,Asignado,2020-09-28T18:43:07.600Z,40381886,1,11969
574907,Cancelado,2020-09-28T18:38:11.968Z,41181798,1,565
574906,Asignado,2020-09-28T18:38:00.721Z,40831579,1,233.7
574903,Cancelado,2020-09-28T18:34:56.024Z,10860035,1,210
574903,Cancelado,2020-09-28T18:34:56.024Z,12174165,1,295
574903,Cancelado,2020-09-28T18:34:56.024Z,12709435,1,710
574163,Orden con Cancelacion,2020-09-28T00:35:39.104Z,39013339,1,59.5
573983,Fulfilment con Cancelacion,2020-09-27T21:57:40.276Z,40205502,1,699
557423,CREATED,2020-09-15T10:50:39.762Z,39693678,1,19
552971,Solicitud de Devolución Iniciada,2020-09-13T21:56:15.895Z,16854925,1,105
545570,Orden con Cancelacion,2020-09-10T07:31:03.488Z,40033572,1,395
540234,Entregado HD,2020-09-07T21:53:10.275Z,40445652,1,1849
526009,Orden con Cancelacion,2020-09-03T19:08:46.931Z,40643574,1,479.7
516448,Cancelado,2020-09-01T08:19:46.835Z,TestProduct1,1,51000
