Order Id, Fulfilment ID, Fulfilment Status, Created On, SKU Ref, SKU ID, Requested Quantity, Filled Quantity
590556,1033613,RMA Cerrado,2020-10-13T20:50:45.272Z,40831579,1399954,1,0,1
590556,1028203,RMA Cerrado,2020-10-12T21:14:13.784Z,39394489,1392546,1,0,1
590556,991218,RMA Cerrado,2020-10-06T16:38:20.627Z,18289417,1341047,4,0,4
590556,990582,Reasignado,2020-10-06T14:52:46.622Z,39394489,1340168,1,0,1
590556,990582,Reasignado,2020-10-06T14:52:46.622Z,40831579,1340167,1,0,1
590556,987376,Rechazado en Tienda,2020-10-05T22:27:58.528Z,39414310,1335600,2,0,2
590556,987375,Entregado al Cliente,2020-10-05T22:27:56.893Z,39411572,1335599,1,1,0
590556,987375,Entregado al Cliente,2020-10-05T22:27:56.893Z,40831570,1335598,1,1,0
590556,987375,Entregado al Cliente,2020-10-05T22:27:56.893Z,18505562,1335597,3,3,0
590556,987374,Rechazado en Tienda,2020-10-05T22:27:52.485Z,39411572,1335596,1,0,1
590556,987373,Rechazado en Tienda,2020-10-05T22:27:50.565Z,18289417,1335595,4,0,4
590556,987372,Rechazado en Tienda,2020-10-05T22:27:48.256Z,39394489,1335594,1,0,1
590556,987372,Rechazado en Tienda,2020-10-05T22:27:48.256Z,40831579,1335593,1,0,1
590556,987371,Rechazado en Tienda,2020-10-05T22:27:45.967Z,769050,1335592,2,0,2
590556,987371,Rechazado en Tienda,2020-10-05T22:27:45.967Z,37600966,1335591,1,0,1
590556,987371,Rechazado en Tienda,2020-10-05T22:27:45.967Z,39411573,1335590,2,0,2
590556,987370,Entregado al Cliente,2020-10-05T22:27:42.137Z,35802798,1335589,3,3,0
590375,1045267,RMA Cerrado,2020-10-15T20:39:05.634Z,41225466,1415947,1,0,1
590375,1044846,RMA Cerrado,2020-10-15T19:26:21.493Z,41169838,1415384,1,0,1
590375,1044583,RMA Cerrado,2020-10-15T18:45:02.735Z,41097245,1415021,1,0,1
590375,1040619,Entregado al Cliente,2020-10-15T00:55:49.454Z,39019134,1409595,1,1,0
590375,1032619,Reasignado,2020-10-13T17:50:53.614Z,41169838,1398525,1,0,1
590375,1032619,Reasignado,2020-10-13T17:50:53.614Z,39019134,1398524,1,0,1
590375,1032619,Reasignado,2020-10-13T17:50:53.614Z,41097245,1398523,1,0,1
590375,1032619,Reasignado,2020-10-13T17:50:53.614Z,41225466,1398522,1,0,1
590375,1032618,Entregado al Cliente,2020-10-13T17:50:46.760Z,40461101,1398521,1,0,1
590375,1032618,Entregado al Cliente,2020-10-13T17:50:46.760Z,40887361,1398520,1,1,0
590375,987119,Entregado al Cliente,2020-10-05T21:45:51.788Z,40658384,1335219,1,1,0
590375,987118,Entregado al Cliente,2020-10-05T21:45:49.384Z,40472692,1335218,1,1,0
