Order Id, Fulfilment ID, Fulfilment Status, Created On, SKU Ref, SKU ID, Requested Quantity, Filled Quantity, Rejected Quantity
857387,1372051,CECOM RMA Cerrado,2020-12-01T23:59:58.546Z,39080364,1875278,1,0,1
857387,1372051,CECOM RMA Cerrado,2020-12-01T23:59:58.546Z,37726387,1875277,1,0,1
857386,1372050,Entregado al Cliente,2020-12-01T23:59:48.319Z,40456365,1875276,1,1,0
857386,1372049,Entregado al Cliente,2020-12-01T23:59:46.178Z,41223867,1875275,1,1,0
857385,1372048,Entregado al Cliente,2020-12-01T23:59:21.516Z,41187418,1875274,1,1,0
857384,1372047,Entregado al Cliente,2020-12-01T23:58:35.032Z,41132420,1875273,1,1,0
857383,1372046,Entregado al Cliente,2020-12-01T23:58:15.126Z,41265780,1875272,1,1,0
857382,1372045,Entregado al Cliente,2020-12-01T23:58:06.035Z,41276680,1875271,1,1,0
854742,1372044,CECOM RMA Cerrado,2020-12-01T23:57:09.955Z,38913776,1875270,1,0,1
857381,1372043,Entregado al Cliente,2020-12-01T23:57:06.821Z,38527008,1875269,1,1,0
852317,1372042,Entregado al Cliente,2020-12-01T23:56:25.984Z,40514459,1875268,1,1,0
857380,1372041,Entregado al Cliente,2020-12-01T23:55:43.032Z,36340795,1875267,1,1,0
857380,1372040,Rechazado en Tienda,2020-12-01T23:55:38.595Z,36340795,1875266,1,0,1
857379,1372039,Entregado al Cliente,2020-12-01T23:55:19.088Z,37447212,1875265,1,1,0
857379,1372039,Entregado al Cliente,2020-12-01T23:55:19.088Z,39328256,1875264,1,1,0
857379,1372039,Entregado al Cliente,2020-12-01T23:55:19.088Z,40074832,1875263,1,1,0
857379,1372039,Entregado al Cliente,2020-12-01T23:55:19.088Z,38586352,1875262,1,1,0
857379,1372039,Entregado al Cliente,2020-12-01T23:55:19.088Z,36340795,1875261,1,1,0
857379,1372038,Entregado al Cliente,2020-12-01T23:55:16.080Z,41342551,1875260,1,1,0
857378,1372037,Entregado al Cliente,2020-12-01T23:55:12.003Z,31164353,1875259,1,2,0
857378,1372037,Entregado al Cliente,2020-12-01T23:55:12.003Z,40498234,1875258,1,1,0
857378,1372037,Entregado al Cliente,2020-12-01T23:55:12.003Z,40514973,1875257,1,1,0
857377,1372036,Entregado al Cliente,2020-12-01T23:54:51.575Z,17126558,1875256,1,1,0
857376,1372035,Entregado al Cliente,2020-12-01T23:53:37.535Z,41276680,1875255,1,1,0
850056,1372034,CECOM RMA Cerrado,2020-12-01T23:52:44.221Z,40884744,1875254,2,0,2
856319,1372033,Entregado al Cliente,2020-12-01T23:52:19.286Z,37514124,1875253,1,1,0
857374,1372032,Entregado al Cliente,2020-12-01T23:52:06.240Z,36567443,1875252,2,2,0
857375,1372031,Entregado al Cliente,2020-12-01T23:52:05.793Z,40649757,1875251,1,1,0
857373,1372030,Entregado al Cliente,2020-12-01T23:51:10.897Z,41403892,1875250,1,1,0
856323,1372029,RMA Reintegro de Inventario,2020-12-01T23:50:33.881Z,39328265,1875249,1,0,1
717705,1372028,CECOM RMA Cerrado,2020-12-01T23:49:21.241Z,40511869,1875248,1,0,1
857372,1372027,Entregado al Cliente,2020-12-01T23:49:16.723Z,39279580,1875247,1,1,0
857372,1372027,Entregado al Cliente,2020-12-01T23:49:16.723Z,40551151,1875246,1,1,0
857372,1372026,Entregado al Cliente,2020-12-01T23:49:14.046Z,41219908,1875245,1,1,0
857371,1372025,Entregado al Cliente,2020-12-01T23:48:32.387Z,40595537,1875244,1,1,0
857370,1372024,Entregado al Cliente,2020-12-01T23:47:58.773Z,40903961,1875243,1,1,0
857368,1372023,Entregado al Cliente,2020-12-01T23:47:24.980Z,37818611,1875242,1,1,0
857369,1372022,Entregado al Cliente,2020-12-01T23:47:23.938Z,16134131,1875241,1,1,0
857368,1372021,FULFILLED,2020-12-01T23:47:23.688Z,37818610,1875240,1,1,0
857368,1372021,FULFILLED,2020-12-01T23:47:23.688Z,37818612,1875239,1,1,0
857369,1372020,Entregado al Cliente,2020-12-01T23:47:21.649Z,37730088,1875238,1,1,0
857369,1372020,Entregado al Cliente,2020-12-01T23:47:21.649Z,39605189,1875237,1,1,0
857369,1372020,Entregado al Cliente,2020-12-01T23:47:21.649Z,39162997,1875236,1,2,0
857368,1372019,Entregado al Cliente,2020-12-01T23:47:18.757Z,37766972,1875235,1,0,1
857368,1372019,Entregado al Cliente,2020-12-01T23:47:18.757Z,40159949,1875234,1,1,0
850926,1372018,CECOM RMA Cerrado,2020-12-01T23:47:15.480Z,40831579,1875233,3,0,3
857367,1372017,Entregado al Cliente,2020-12-01T23:46:57.267Z,39625655,1875232,1,1,0
841731,1372016,Entregado al Cliente,2020-12-01T23:46:41.901Z,41011313,1875231,1,1,0
857364,1372015,Rechazado en Tienda,2020-12-01T23:46:12.427Z,39856414,1875230,1,0,1
796712,1372014,CECOM RMA Cerrado,2020-12-01T23:46:09.446Z,39227938,1875229,1,0,1
857364,1372013,ON_HOLD,2020-12-01T23:46:08.653Z,40121289,1875228,1,0,0
