Order Id, Status, CreatedOn, SKU Refs, Required Quantity, Price
976867,ORDER_IN_ERROR,2020-12-31T15:56:50.419Z,41237005CC_PFS,1,28079.4
974960,Fulfilment en Proceso,2020-12-31T02:31:19.365Z,40380551,1,77.84
974960,Fulfilment en Proceso,2020-12-31T02:31:19.365Z,40941903,1,423.2
932560,Entregado HD,2020-12-24T18:45:23.140Z,38866505,1,1883
932495,Entregado HD,2020-12-24T18:26:53.395Z,40840468,1,383.2
932460,Solicitud de Devolución Iniciada,2020-12-24T18:18:13.901Z,11199753,1,890
932362,Entregado HD,2020-12-24T17:56:51.679Z,41286259,1,314.3
932362,Entregado HD,2020-12-24T17:56:51.679Z,40809787,1,265.3
779279,Error en Sistema,2020-11-17T01:44:10.990Z,40761643,1,549.5
679445,Solicitud de Devolución Iniciada,2020-10-30T19:35:25.955Z,41268752,1,801
644668,Error en Sistema,2020-10-21T01:26:56.432Z,40767799,1,2653
642420,Cancelado,2020-10-20T16:32:00.668Z,39896441,1,13690
642382,Error en Sistema,2020-10-20T16:19:56.162Z,39888922,1,379.5
640113,Error en Sistema,2020-10-19T22:46:06.856Z,30515297,1,455
640113,Error en Sistema,2020-10-19T22:46:06.856Z,40962582,1,495.2
640113,Error en Sistema,2020-10-19T22:46:06.856Z,41134238,1,601.6
577226,Cancelado,2020-09-30T16:02:50.622Z,39054452,1,535.5
574968,Cancelado,2020-09-28T19:33:08.312Z,39873392,1,1990
574947,Error en Sistema,2020-09-28T19:17:18.615Z,41143406,1,2299
574946,Cancelado,2020-09-28T19:16:09.755Z,40749448,1,1105
574926,Error en Sistema,2020-09-28T18:56:36.982Z,41204245,1,0
574923,Cancelado,2020-09-28T18:54:24.639Z,41022642,1,3790
574920,Cancelado,2020-09-28T18:52:34.915Z,38745602,1,25.5
574903,Cancelado,2020-09-28T18:34:56.024Z,12709435,1,710
574903,Cancelado,2020-09-28T18:34:56.024Z,10860035,1,210
574903,Cancelado,2020-09-28T18:34:56.024Z,12174165,1,295
573983,Error en Sistema,2020-09-27T21:57:40.276Z,40205502,1,699
557423,Error en Sistema,2020-09-15T10:50:39.762Z,39693678,1,19
502433,Error en Sistema,2020-08-28T02:31:07.221Z,39300273,1,319.5
502433,Error en Sistema,2020-08-28T02:31:07.221Z,40475964,1,229.5
502433,Error en Sistema,2020-08-28T02:31:07.221Z,40514787,1,239.7
498529,Solicitud de Devolución Iniciada,2020-08-27T08:13:49.842Z,40137575,1,79
497735,Error en Sistema,2020-08-27T04:16:05.187Z,40528283,1,387
496943,Error en Sistema,2020-08-27T01:26:49.859Z,40288700,1,25.2
496943,Error en Sistema,2020-08-27T01:26:49.859Z,40288673,1,25.2
496943,Error en Sistema,2020-08-27T01:26:49.859Z,40305834,2,25.2
496901,Error en Sistema,2020-08-27T01:17:43.761Z,40782834,1,189
496901,Error en Sistema,2020-08-27T01:17:43.761Z,40763581,1,189
496643,Error en Sistema,2020-08-27T00:26:03.854Z,40803769,1,759.6
496374,Error en Sistema,2020-08-26T23:32:19.334Z,40525496,1,284.4
495227,Solicitud de Devolución Iniciada,2020-08-26T20:04:06.345Z,40692599,1,59.4
495227,Solicitud de Devolución Iniciada,2020-08-26T20:04:06.345Z,40692522,2,59.4
495227,Solicitud de Devolución Iniciada,2020-08-26T20:04:06.345Z,40692534,2,59.4
495227,Solicitud de Devolución Iniciada,2020-08-26T20:04:06.345Z,40692600,1,59.4
495227,Solicitud de Devolución Iniciada,2020-08-26T20:04:06.345Z,40692898,2,59.4
495227,Solicitud de Devolución Iniciada,2020-08-26T20:04:06.345Z,40692520,2,59.4
494743,Orden con Cancelacion,2020-08-26T18:45:24.739Z,40624476,1,267
494263,Solicitud de Devolución Iniciada,2020-08-26T17:31:09.668Z,30754781,1,55.8
494263,Solicitud de Devolución Iniciada,2020-08-26T17:31:09.668Z,30754586,1,101.8
494263,Solicitud de Devolución Iniciada,2020-08-26T17:31:09.668Z,30161070,1,87
494263,Solicitud de Devolución Iniciada,2020-08-26T17:31:09.668Z,30161006,1,101
493957,Orden con Cancelacion,2020-08-26T16:50:23.926Z,40452994,1,178.2
492062,Solicitud de Devolución Iniciada,2020-08-26T03:36:18.290Z,30753892,1,127.8
492062,Solicitud de Devolución Iniciada,2020-08-26T03:36:18.290Z,30160954,1,65.8
491645,Fulfilment con Cancelacion,2020-08-26T02:38:48.638Z,40580326,3,98
489205,Solicitud de Devolución Iniciada,2020-08-25T20:41:14.389Z,38601290,1,103.75
489036,Solicitud de Devolución Iniciada,2020-08-25T20:17:10.073Z,40827196,1,510
489036,Solicitud de Devolución Iniciada,2020-08-25T20:17:10.073Z,40827373,1,510
488168,Orden con Cancelacion,2020-08-25T18:39:18.121Z,40451786,1,628.5
480850,Cancelado por Validacion,2020-08-23T04:31:00.323Z,39861419,1,2200
480850,Cancelado por Validacion,2020-08-23T04:31:00.323Z,40799764,1,1950
480850,Cancelado por Validacion,2020-08-23T04:31:00.323Z,39759163,1,1800
480818,Cancelado,2020-08-23T04:16:05.870Z,40033801,1,399.5
480778,Cancelado,2020-08-23T04:00:03.804Z,38531953,1,245
480778,Cancelado,2020-08-23T04:00:03.804Z,38531960,1,180
480778,Cancelado,2020-08-23T04:00:03.804Z,39565661,1,350
480778,Cancelado,2020-08-23T04:00:03.804Z,38531950,1,380
480776,Fulfilment con Cancelacion,2020-08-23T03:57:51.103Z,40458875,1,19649
