fulfilment Id, fulldate, currentDate, previousDate, nextDate
2182404,2021-06-03T06:00:38.446Z,03-06-2021,02-06-2021,04-06-2021
2182334,2021-06-03T05:28:02.408Z,03-06-2021,02-06-2021,04-06-2021
2181876,2021-06-03T03:20:25.600Z,03-06-2021,02-06-2021,04-06-2021
2181851,2021-06-03T03:16:06.193Z,03-06-2021,02-06-2021,04-06-2021
2181038,2021-06-03T00:16:06.656Z,03-06-2021,02-06-2021,04-06-2021
2180816,2021-06-02T23:25:17.265Z,02-06-2021,01-06-2021,03-06-2021
2180809,2021-06-02T23:23:40.112Z,02-06-2021,01-06-2021,03-06-2021
2180801,2021-06-02T23:21:28.515Z,02-06-2021,01-06-2021,03-06-2021
2180020,2021-06-02T20:04:56.684Z,02-06-2021,01-06-2021,03-06-2021
2179777,2021-06-02T19:07:55.744Z,02-06-2021,01-06-2021,03-06-2021
2179771,2021-06-02T19:04:44.856Z,02-06-2021,01-06-2021,03-06-2021
2179398,2021-06-02T17:46:09.534Z,02-06-2021,01-06-2021,03-06-2021
2179056,2021-06-02T16:21:32.690Z,02-06-2021,01-06-2021,03-06-2021
2178812,2021-06-02T15:15:37.398Z,02-06-2021,01-06-2021,03-06-2021
fulfilment Id, fulldate, currentDate, previousDate, nextDate
2169839,2021-06-01T03:00:57.542Z,01-06-2021,30-05-2021,02-06-2021
2180732,2021-06-02T23:07:12.852Z,02-06-2021,01-06-2021,03-06-2021
2180396,2021-06-02T21:49:45.997Z,02-06-2021,01-06-2021,03-06-2021
2180001,2021-06-02T20:00:32.667Z,02-06-2021,01-06-2021,03-06-2021
2179650,2021-06-02T18:35:52.895Z,02-06-2021,01-06-2021,03-06-2021
2179527,2021-06-02T18:13:28.685Z,02-06-2021,01-06-2021,03-06-2021
2179100,2021-06-02T16:33:31.714Z,02-06-2021,01-06-2021,03-06-2021
2178687,2021-06-02T14:21:21.320Z,02-06-2021,01-06-2021,03-06-2021
fulfilment Id, fulldate, currentDate, previousDate, nextDate
2178576,2021-06-02T13:31:16.565Z,02-06-2021,01-06-2021,03-06-2021
2170638,2021-06-01T03:34:50.092Z,01-06-2021,30-05-2021,02-06-2021
