Order Id, Order Ref, Fulfilment Id, Status, CreatedOn, Estafeta tracking Number
956481,1001587173,1505588,AWAIT_ESTAFETA,2020-12-28T06:10:08.808Z,'
949510,3001577112,1495553,AWAIT_ESTAFETA,2020-12-27T05:22:07.092Z,'
946620,3001572999,1491592,AWAIT_ESTAFETA,2020-12-27T00:31:21.227Z,'
946603,3001572794,1491586,AWAIT_ESTAFETA,2020-12-27T00:31:17.965Z,'
946587,1001573051,1491548,AWAIT_ESTAFETA,2020-12-27T00:29:48.181Z,'
946584,1001573154,1491539,AWAIT_ESTAFETA,2020-12-27T00:29:29.767Z,'
942495,1001567312,1485996,AWAIT_ESTAFETA,2020-12-26T18:30:38.966Z,'
942218,1001566826,1485621,AWAIT_ESTAFETA,2020-12-26T18:00:27.535Z,'
940397,3001564396,1483260,AWAIT_ESTAFETA,2020-12-26T06:43:48.185Z,'
937437,3001560268,1479174,AWAIT_ESTAFETA,2020-12-25T22:10:56.676Z,'
934105,3001555655,1474601,AWAIT_ESTAFETA,2020-12-25T03:27:37.087Z,'
932703,3001552790,1471555,AWAIT_ESTAFETA,2020-12-24T19:19:10.544Z,'
930662,3001549046,1470071,AWAIT_ESTAFETA,2020-12-24T02:59:23.377Z,'
928776,1001545338,1466966,AWAIT_ESTAFETA,2020-12-23T19:50:21.235Z,'
925901,1001539973,1463077,AWAIT_ESTAFETA,2020-12-23T02:38:23.026Z,'
924475,3001536992,1460984,AWAIT_ESTAFETA,2020-12-22T21:58:45.018Z,'
921390,3001530939,1456992,AWAIT_ESTAFETA,2020-12-22T04:08:08.453Z,'
Order Id, Order Ref, Fulfilment Id, Status, CreatedOn, Estafeta tracking Number
Order Id, Order Ref, Fulfilment Id, Status, CreatedOn, Estafeta tracking Number
