fulfilment Id, SKURef, Item Id, Filled Qty 
31511,40422566,44324,1,
32085,39961562,45129,3,
33869,40422566,47562,1,
35222,37967153,49355,1,
36191,40422566,50766,1,
37656,40381886,52822,1,
46842,39419923,67107,6,
51383,39419987,74083,1,
58187,38638087,85031,1,
59084,38269944,86437,1,
60285,40050089,88414,1,
66043,39657044,97263,1,
67292,40038348,99023,1,
74518,39242151,109909,1,
78962,38269944,116502,1,
79622,40195301,117480,3,
93709,39009927,138918,1,
94897,38144897,140644,1,
253536,39159133,370208,0,
253536,39159136,370207,0,
101233,37967155,150406,1,
103770,36617321,154145,0,
103816,40283497,154208,1,
103816,37509191,154209,1,
2373604,38638087,3271075,1,
106164,39419923,157681,6,
106775,36894143,158637,6,
113850,40926247,169062,1,
114690,39200301,170311,1,
115827,39503718,172011,1,
116733,38123920,173387,1,
116736,38123919,173391,1,
116736,38123921,173390,1,
120868,38144897,179691,1,
121900,38507019,181279,1,
122165,40926247,181688,1,
123158,40088123,183256,1,
125937,40169085,187428,0,
131199,38179103,195238,1,
131241,39657044,195292,1,
131538,38638087,195741,1,
330832,40203153,475674,2,
330835,39799121,475677,1,
132389,39258586,197029,1,
134205,39827364,199683,6,
134109,40283500,199543,1,
136062,30686136,202445,1,
136062,40815749,202446,1,
321815,40423292,463500,0,
139279,39009941,207153,0,
139825,40397771,207942,1,
140112,38638087,208391,1,
142714,39740062,212405,1,
142714,39740063,212406,1,
145009,39419917,215790,8,
145021,39861195,215805,6,
144979,38104899,215752,1,
146209,39419987,217523,1,
146370,40749808,217767,1,
146453,40934637,217892,1,
146585,40934355,218093,2,
146585,39029921,218092,2,
146845,40038348,218477,1,
147100,38230601,218878,1,
193042,40381885,284543,1,
204804,40014572,301179,2,
220972,38422091,324733,0,
220972,39554665,324732,0,
692330,39554665,965550,0,
233088,40038348,341865,0,
240769,38204233,351765,2,
330957,39799119,475808,1,
264296,40962437,386034,0,
265419,40962437,387387,0,
265655,40962437,387696,0,
271427,40926247,395163,1,
272333,40962437,396522,0,
272454,40962437,396678,0,
273161,40749808,397628,1,
328817,37509189,472951,0,
375972,39591727,537974,0,
375972,40749867,537973,0,
377605,40348997,540232,1,
387539,39827364,554250,4,
387539,39827365,554251,1,
402033,39827362,572856,2,
467231,40127988,665608,0,
117931,38638087,175200,1,
138181,40553583,205579,1,
138182,39009936,205580,1,
164783,40161860,244006,0,
243947,40038348,356050,0,
394989,40050089,563143,0,
13377,40215922,19533,3,
38098,40801204,53418,1,
45654,38638087,65147,1,
78862,40038348,116352,1,
82803,38603123,122394,0,
99431,37967155,147615,1,
115084,40926246,170920,1,
321816,36862263,463501,0,
131860,39419994,196241,1,
138063,37509191,205430,1,
138063,40283497,205429,1,
244257,38649847,356446,5,
321907,40904405,463596,0,
233775,18748837,342795,0,
255891,37197628,373959,1,
263270,40962437,384770,0,
265902,40962437,387989,0,
273806,37466796,398504,3,
319402,40126234,460208,1,
320203,40126234,461324,0,
378636,40485260,541715,6,
412549,39233484,588123,3,
418857,37227568,597060,4,
429231,39175578,612464,1,
461162,40553595,657261,0,
481582,39861195,684587,2,
491644,40348872,698089,1,
500319,39175579,709107,1,
505409,40483557,715325,2,
505409,40483556,715324,7,
538104,40904207,759197,0,
517226,40203148,731769,1,
537074,39827362,757890,4,
538631,40854952,759951,0,
539091,37671209,760564,1,
545501,40203149,769222,1,
553003,36862262,779345,1,
559898,41021555,789313,0,
571636,39242150,804461,3,
609279,41028469,855546,3,
609709,40203159,856130,4,
610536,40381885,857321,3,
613081,41054046,860449,0,
620919,41007400,871265,0,
709076,40986445,986850,0,
628038,39415956,880373,0,
638151,39740061,893940,0,
638151,39779890,893941,0,
653750,37379695,915361,0,
659827,40423282,923709,0,
680087,40203149,949548,0,
741896,40381885,1026723,3,
755101,40904406,1043271,0,
755283,40904406,1043515,0,
786715,18928458,1081808,0,
799940,39009933,1099739,1,
804595,38230600,1106060,0,
810710,40143435,1114283,0,
811259,36323576,1114956,0,
811311,39419923,1115015,0,
811313,39458614,1115017,0,
813994,40344065,1118174,0,
814496,39598050,1118808,0,
858793,36862262,1173257,0,
886636,40136486,1208194,0,
890102,39598048,1212483,0,
908901,38104905,1235727,1,
923760,39419994,1254348,0,
924538,37651527,1255298,0,
924537,40946470,1255297,0,
925713,37651527,1256770,0,
929023,37651527,1261050,0,
932583,39029918,1265505,0,
934010,39419994,1267214,0,
934160,39009929,1267404,0,
934521,40553583,1267855,0,
934819,40553598,1268248,0,
935353,40511531,1268951,0,
939604,41023731,1274238,0,
940417,39790921,1275255,0,
941465,39598048,1276601,0,
941621,40511299,1276784,0,
953053,40283500,1290805,0,
954159,36609443,1292178,0,
954256,40283500,1292332,0,
956273,40283497,1294863,0,
957065,39383317,1295875,0,
957681,40986447,1296653,0,
959685,39383317,1299154,0,
959686,37541905,1299155,0,
960207,40511531,1299808,0,
964402,40050089,1305149,0,
965283,40442857,1306226,0,
965689,16788647,1306723,0,
965731,35948479,1306773,0,
966205,39598048,1307352,0,
969905,39733136,1311876,0,
970685,39733136,1312834,0,
970888,40603926,1313093,0,
972959,40511531,1315701,0,
975957,39419991,1319334,0,
975825,40348984,1319179,0,
975881,39961562,1319245,0,
978065,41237009,1322308,0,
979229,41237005,1323921,0,
979646,36617282,1324520,0,
980904,40377090,1326356,0,
984608,40785903,1331732,0,
988788,38219940,1337578,0,
988844,40894528,1337652,0,
989502,36086943,1338602,0,
991380,40852235,1341297,0,
993071,39242150,1343633,0,
993426,37967153,1344131,0,
993426,37967157,1344132,0,
994315,37256892,1345356,0,
999210,38306823,1352125,0,
999210,39657044,1352124,0,
1003620,38603120,1358511,0,
1003620,39242151,1358512,0,
1004683,36323569,1359921,0,
1005573,41013671,1361158,0,
1006147,38638087,1361962,0,
1006236,40038348,1362079,0,
1006930,37541906,1363048,0,
1008853,38104910,1365821,0,
1008798,39419923,1365742,0,
1010863,40894510,1368557,0,
1012385,40524463,1370451,0,
1016445,40785904,1375982,0,
1018000,40143435,1378121,0,
1019790,40367057,1380766,0,
1023348,37256892,1385847,0,
1027409,38603120,1391543,0,
1027409,37456949,1391544,2,
1028670,38499947,1393165,0,
1029700,40381886,1394557,0,
1032312,41228086,1398091,0,
1391385,41228086,1900889,0,
1033076,36086939,1399201,0,
1034008,39943821,1400485,0,
1035898,41237000,1403211,0,
1037504,41237001,1405387,1,
1037504,37256892,1405386,5,
1038719,40423282,1407088,0,
1038890,40926306,1407317,0,
1043852,39242150,1414041,0,
1044244,40181797,1414562,0,
