fulfilment Id, SKURef, Item Id, Filled Qty 
1964703,40511532,2687880,0,
1964854,37836772,2688073,0,
1964987,40986447,2688253,0,
1966539,41598627,2690282,0,
1966806,38983630,2690633,0,
1967015,37255776,2690920,0,
1967111,40956111,2691053,0,
1968193,41618444,2692611,0,
1968324,40819973,2692803,0,
1968760,41054035,2693449,0,
1969158,40986447,2693998,0,
1969594,40511532,2694735,0,
1970361,39591725,2695855,0,
1971493,39657044,2697594,0,
1971853,41618444,2698116,0,
1971701,40894528,2697898,0,
1971944,41264402,2698248,0,
1972417,41277838,2698959,0,
1972580,40459698,2699207,0,
1972768,39383317,2699505,0,
1972951,40459698,2699783,0,
1973418,41222636,2700462,0,
1973585,40459698,2700689,0,
1974695,40442854,2702387,0,
1975101,38179559,2702988,0,
1975166,40859534,2703075,0,
1975488,38554813,2703568,0,
1976333,41222635,2704829,0,
1976333,41575233,2704828,0,
1976524,40143435,2705132,0,
1978325,41618444,2707828,0,
1978341,41054034,2707855,0,
1978375,37509195,2707897,0,
1978684,39419987,2708374,0,
1978693,39419987,2708387,0,
1978766,40819973,2708491,0,
1978878,40761979,2708661,0,
1978881,41264402,2708664,0,
1979293,41618444,2709284,0,
1979488,38202141,2709605,0,
1979488,40459698,2709604,0,
1980609,38554813,2711424,0,
1981305,41222637,2712549,0,
1981530,40050089,2712903,0,
1981585,41618444,2712981,0,
1981684,40761977,2713140,0,
1982148,40761576,2713882,0,
1982424,40330810,2714274,0,
1983337,40075633,2715725,0,
1983828,37509191,2716463,0,
1983926,36620184,2716618,0,
1983945,40819973,2716640,0,
1984061,38554809,2716801,0,
1984160,37140590,2716941,0,
1984417,41222630,2717301,0,
1984490,39419987,2717411,0,
1984855,40904310,2717953,0,
1984897,41222635,2718014,0,
1985026,40761977,2718193,0,
1985125,41025841,2718323,0,
1985243,40852210,2718507,0,
1985410,41054027,2718762,0,
1985481,41191731,2718868,0,
1987191,40819973,2721324,0,
1987314,40181793,2721515,0,
1987469,38554811,2721751,0,
1987735,41306182,2722123,0,
1988360,41333453,2723066,0,
1988366,41277838,2723074,0,
1988612,37637209,2723457,0,
1990873,39598048,2726857,0,
1991081,40986447,2727159,0,
1991413,40038348,2727641,0,
1992954,41257004,2729913,0,
1993034,41575233,2730033,0,
1993282,41054028,2730441,0,
1993928,41333454,2731428,0,
1993999,41054027,2731552,0,
1994271,41539023,2731942,0,
1994564,41032893,2732396,0,
1995875,41054040,2734396,0,
1995876,41261336,2734397,0,
1996406,39175578,2735107,0,
1996485,38165511,2735238,0,
1996485,40442854,2735239,0,
1996485,40973669,2735240,0,
1996683,39598048,2735533,0,
1997911,40458877,2737290,0,
1999392,41618444,2739512,0,
1999248,39591722,2739296,0,
2000392,40050089,2741004,0,
2000588,40511706,2741315,0,
2000616,39616097,2741359,0,
2000838,40430343,2741684,0,
2000901,39242149,2741792,0,
2000901,39242150,2741790,0,
2000901,40986447,2741789,0,
2000901,41222631,2741791,0,
2002557,38144897,2744300,0,
2004796,41575233,2747682,0,
