Order Id, Order Ref, Fulfilment Id, Status, CreatedOn, Estafeta tracking Number
107359,100234667,124860,Enviado al Cliente2020-05-31T23:46:19.577Z38204233.1591454396,,
107358,100234355,124859,Enviado al Cliente2020-05-31T23:46:18.960Z38204233.1591468719,,
107361,100234876,124858,Enviado al Cliente2020-05-31T23:46:18.787Z38204233.1591454397,,
107325,300235967,124824,Enviado al Cliente2020-05-31T23:42:36.068Z0018634782651609566775,,
107113,300235735,124521,Enviado al Cliente2020-05-31T23:08:27.977Z3018634782651609539916,,
106755,300235227,124061,Enviado al Cliente2020-05-31T22:24:18.011Z,,
106671,300234806,123956,Enviado al Cliente2020-05-31T22:16:16.166Z,,
106432,100234694,123642,Enviado al Cliente2020-05-31T21:48:52.359ZWEPH00000000108432,,
106160,100234320,123289,Enviado al Cliente2020-05-31T21:19:50.623Z5018618555651609531788,,
106127,300234291,123248,Enviado al Cliente2020-05-31T21:16:20.251Z,,
102501,300228947,123173,Enviado al Cliente2020-05-31T21:12:59.697Z7018634782651609790068,,
106076,100234207,123158,Enviado al Cliente2020-05-31T21:12:17.022Z40088123.1591454367,,
106055,200234236,123134,Enviado al Cliente2020-05-31T21:09:38.963Z40407270.1595518540,,
59998,100163277,123000,Enviado al Cliente2020-05-31T20:58:35.287Z,,
105780,100233796,122752,Enviado al Cliente2020-05-31T20:37:07.433Z,,
105694,300233729,122650,Enviado al Cliente2020-05-31T20:30:08.125Z2018634782651609545625,,
105473,100233344,122350,Enviado al Cliente2020-05-31T20:02:14.605Z,,
105144,100232834,121900,Enviado al Cliente2020-05-31T19:28:05.333Z38507019.1591457860,,
104875,300232317,121550,Enviado al Cliente2020-05-31T18:58:22.632Z2018634782651609545729,,
104792,300232109,121452,Enviado al Cliente2020-05-31T18:49:13.593Z558770916517028200000,,
104221,300231391,120682,Enviado al Cliente2020-05-31T17:40:42.525Z9018634782651609790741,,
103914,300231046,120271,Enviado al Cliente2020-05-31T17:06:27.286Z9018618555651608671513,,
103415,100230290,119619,Enviado al Cliente2020-05-31T15:51:53.935Z9018634782651609543675,,
103291,100230082,119450,Enviado al Cliente2020-05-31T15:22:51.430Z,,
102907,300229514,118940,Enviado al Cliente2020-05-31T13:37:01.747Z4018634782651609559607,,
102252,300228419,118114,Enviado al Cliente2020-05-31T05:00:54.659Z,,
102168,300228335,118015,Enviado al Cliente2020-05-31T04:46:26.039Z,,
102130,100228278,117965,Enviado al Cliente2020-05-31T04:43:22.069Z,,
102108,200228252,117931,Enviado al Cliente2020-05-31T04:38:22.678Z38638087.1594065729,,
102077,300228111,117891,Enviado al Cliente2020-05-31T04:33:37.035Z,,
102049,100228029,117862,Enviado al Cliente2020-05-31T04:30:41.488Z,,
101839,300227849,117589,Enviado al Cliente2020-05-31T04:00:10.343Z7018634782651609451902,,
101696,300227734,117409,Enviado al Cliente2020-05-31T03:39:49.910Z8018634782651609445236,,
101377,300227206,117017,Enviado al Cliente2020-05-31T02:58:31.849Z7018634782651609451704,,
101154,100226768,116736,Enviado al Cliente2020-05-31T02:31:07.569Z38123921.1591470385,,
101154,100226768,116733,Enviado al Cliente2020-05-31T02:31:06.217Z38123920.1591470389,,
100884,300226578,116418,Enviado al Cliente2020-05-31T01:58:17.637Z116418,,
100772,100226344,116290,Enviado al Cliente2020-05-31T01:46:17.823Z5018634782651609545997,,
99979,300225360,115164,Enviado al Cliente2020-05-31T00:15:09.487Z,,
99695,100224873,114815,Enviado al Cliente2020-05-30T23:41:13.598Z,,
99161,300224194,114116,Enviado al Cliente2020-05-30T22:39:16.498Z,,
96680,100220576,110871,Enviado al Cliente2020-05-30T17:46:25.728Z40801205.1591468585,,
96440,100220258,110581,Enviado al Cliente2020-05-30T17:18:31.745ZWEPH00000000107451,,
96223,100219990,110308,Enviado al Cliente2020-05-30T16:50:57.468Z40195301.1591456610,,
96018,300219614,110045,Enviado al Cliente2020-05-30T16:20:34.523Z,,
95976,300219513,109993,Enviado al Cliente2020-05-30T16:15:34.060Z,,
95664,300219132,109563,Enviado al Cliente2020-05-30T15:17:06.769Z40343450.1591211665,,
95098,100218256,108792,Enviado al Cliente2020-05-30T07:49:45.555ZWEPH00000000107876,,
93748,100216168,107119,Enviado al Cliente2020-05-30T02:32:14.237Z40136485.1596498667,,
93312,300215452,106589,Enviado al Cliente2020-05-30T01:31:17.011Z,,
91072,200212265,103641,Enviado al Cliente2020-05-29T20:48:38.656Z,,
90933,300212051,103450,Enviado al Cliente2020-05-29T20:30:07.978Z39159133.1596933044,,
90743,100211792,103224,Enviado al Cliente2020-05-29T20:01:31.397Z40050091.1591452993,,
90227,300210965,102564,Enviado al Cliente2020-05-29T18:46:35.672Z39699293.1593299610,,
90227,300210965,102563,Enviado al Cliente2020-05-29T18:46:34.831Z39631365.1591411395,,
88248,100207960,100038,Enviado al Cliente2020-05-29T07:11:12.468Z,,
88164,300207827,99932,Enviado al Cliente2020-05-29T06:29:55.275ZWEPH00000000103762,,
87655,100206906,99248,Enviado al Cliente2020-05-29T04:20:14.285Z,,
87440,100206524,98967,Enviado al Cliente2020-05-29T03:46:04.534Z,,
86451,300204873,97695,Enviado al Cliente2020-05-29T01:24:27.031Z,,
86054,100204208,97167,Enviado al Cliente2020-05-29T00:33:07.494Z40014641.1591119811,,
86008,100204176,97107,Enviado al Cliente2020-05-29T00:27:25.864Z38603122.1593178834,,
85922,100204029,96996,Enviado al Cliente2020-05-29T00:16:09.419Z,,
85837,200203960,96878,Enviado al Cliente2020-05-29T00:05:43.679Z,,
85357,100203339,96243,Enviado al Cliente2020-05-28T23:05:34.962Z,,
84696,100202286,95362,Enviado al Cliente2020-05-28T21:43:22.681Z38499947.1591456639,,
84686,100202275,95349,Enviado al Cliente2020-05-28T21:42:09.671Z,,
84365,100201837,94939,Enviado al Cliente2020-05-28T20:56:48.307ZWEPH00000000104335,,
84210,100201518,94741,Enviado al Cliente2020-05-28T20:32:16.664Z39258601.1591468525,,
83896,100200923,94327,Enviado al Cliente2020-05-28T19:45:26.144Z,,
