Order Id, Order Ref, Fulfilment Id, Status, CreatedOn, Estafeta tracking Number
1114906,1001822767,1734278,Recolectado,2021-01-31T23:56:52.986Z,'
1114899,1001822685,1734268,Recolectado,2021-01-31T23:55:40.442Z,'
1114849,1001822635,1734198,Recolectado,2021-01-31T23:46:00.648Z,'
1112491,1001819207,1734159,Recolectado,2021-01-31T23:38:10.271Z,'
1114806,1001822588,1734139,Recolectado,2021-01-31T23:35:27.592Z,'
1114806,1001822588,1734138,Recolectado,2021-01-31T23:35:26.262Z,'
1114779,3001822383,1734098,Recolectado,2021-01-31T23:31:08.565Z,'
1114770,3001822519,1734082,Recolectado,2021-01-31T23:29:48.635Z,'
1114759,3001822555,1734063,Recolectado,2021-01-31T23:25:28.462Z,'
1114743,3001822491,1734040,Recolectado,2021-01-31T23:22:55.743Z,'
1114684,3001822391,1733953,Recolectado,2021-01-31T23:12:25.333Z,'
1114678,1001822379,1733943,Recolectado,2021-01-31T23:10:24.184Z,'
1114662,1001822448,1733920,Recolectado,2021-01-31T23:05:45.566Z,'
1114657,3001822444,1733912,Recolectado,2021-01-31T23:04:34.231Z,'
1114641,3001822231,1733893,Recolectado,2021-01-31T23:00:39.214Z,'
1114618,3001822225,1733864,Recolectado,2021-01-31T22:59:23.381Z,'
1114612,1001822309,1733858,Recolectado,2021-01-31T22:57:59.741Z,'
1114612,1001822309,1733857,Recolectado,2021-01-31T22:57:58.214Z,'
1114612,1001822309,1733856,Recolectado,2021-01-31T22:57:57.037Z,'
1114598,1001822212,1733835,Recolectado,2021-01-31T22:53:42.890Z,'
1114590,1001822206,1733819,Recolectado,2021-01-31T22:50:47.258Z,'
1111216,1001817315,1733811,Recolectado,2021-01-31T22:50:24.453Z,'
1114573,3001822121,1733781,Recolectado,2021-01-31T22:46:07.989Z,'
1114558,1001822264,1733762,Recolectado,2021-01-31T22:42:59.457Z,'
1114546,3001822178,1733745,Recolectado,2021-01-31T22:40:18.874Z,'
1114487,3001822142,1733656,Recolectado,2021-01-31T22:25:33.665Z,'
1114487,3001822142,1733655,Recolectado,2021-01-31T22:25:32.531Z,'
1114369,1001821911,1733459,Recolectado,2021-01-31T21:53:52.985Z,'
1114350,1001821892,1733436,Recolectado,2021-01-31T21:46:40.158Z,'
1114344,1001821888,1733429,Recolectado,2021-01-31T21:44:41.907Z,'
1114330,3001821875,1733411,Recolectado,2021-01-31T21:41:51.417Z,'
1114320,1001821941,1733393,Recolectado,2021-01-31T21:38:47.440Z,'
1114281,3001821717,1733344,Recolectado,2021-01-31T21:29:46.385Z,'
1114276,3001821715,1733338,Recolectado,2021-01-31T21:28:16.950Z,'
1114224,3001821656,1733262,Recolectado,2021-01-31T21:16:07.663Z,'
1114215,3001821783,1733258,Recolectado,2021-01-31T21:15:23.579Z,'
1114209,1001821672,1733253,Recolectado,2021-01-31T21:13:58.621Z,'
1114205,1001821776,1733246,Recolectado,2021-01-31T21:12:50.975Z,'
1114202,1001821664,1733243,Recolectado,2021-01-31T21:12:40.689Z,'
1114183,3001821758,1733218,Recolectado,2021-01-31T21:07:17.078Z,'
1114179,3001821753,1733213,Recolectado,2021-01-31T21:06:00.727Z,'
1114179,3001821753,1733212,Recolectado,2021-01-31T21:05:58.645Z,'
1051800,1001728416,1733192,Recolectado,2021-01-31T21:03:18.721Z,'
1114060,3001821493,1733038,Recolectado,2021-01-31T20:42:05.008Z,'
1114053,3001821549,1733027,Recolectado,2021-01-31T20:39:32.669Z,'
1114034,1001821469,1732997,Recolectado,2021-01-31T20:33:22.930Z,'
1114023,1001821415,1732980,Recolectado,2021-01-31T20:31:14.807Z,'
1113968,1001821370,1732901,Recolectado,2021-01-31T20:19:34.923Z,'
1112379,3001819054,1732805,Recolectado,2021-01-31T20:14:22.769Z,'
1110884,1001816830,1732804,Recolectado,2021-01-31T20:14:22.555Z,'
1110949,3001816961,1732802,Recolectado,2021-01-31T20:14:21.717Z,'
1113920,1001821205,1732780,Recolectado,2021-01-31T20:09:11.363Z,'
1113868,3001821285,1732708,Recolectado,2021-01-31T19:55:29.459Z,'
1113805,3001821154,1732626,Recolectado,2021-01-31T19:41:16.773Z,'
1113788,1001821111,1732604,Recolectado,2021-01-31T19:35:21.120Z,'
1113761,3001821053,1732554,Recolectado,2021-01-31T19:30:38.403Z,'
1113740,3001821073,1732530,Recolectado,2021-01-31T19:26:12.481Z,'
1113737,3001821007,1732526,Recolectado,2021-01-31T19:25:51.064Z,'
1113731,1001821066,1732518,Recolectado,2021-01-31T19:25:20.489Z,'
1113730,1001821065,1732517,Recolectado,2021-01-31T19:25:19.836Z,'
1113727,3001821064,1732509,Recolectado,2021-01-31T19:24:51.226Z,'
1113659,3001820947,1732418,Recolectado,2021-01-31T19:04:53.838Z,'
1113641,1001820878,1732393,Recolectado,2021-01-31T19:00:49.974Z,'
1113638,3001820856,1732380,Recolectado,2021-01-31T19:00:07.581Z,'
1113630,1001820812,1732376,Recolectado,2021-01-31T19:00:04.470Z,'
1113628,1001820872,1732374,Recolectado,2021-01-31T18:58:54.829Z,'
1113624,3001820823,1732370,Recolectado,2021-01-31T18:57:46.591Z,'
1113624,3001820823,1732369,Recolectado,2021-01-31T18:57:44.397Z,'
1113586,3001820728,1732312,Recolectado,2021-01-31T18:45:27.277Z,'
1113575,1001820658,1732296,Recolectado,2021-01-31T18:45:06.078Z,'
1113553,1001820777,1732262,Recolectado,2021-01-31T18:38:17.630Z,'
1113501,3001820743,1732183,Recolectado,2021-01-31T18:27:59.775Z,'
1112491,1001819207,1732026,Recolectado,2021-01-31T18:02:52.347Z,'
1113390,3001820554,1732019,Recolectado,2021-01-31T18:02:06.389Z,'
1113322,3001820449,1731927,Recolectado,2021-01-31T17:45:41.937Z,'
1113236,1001820307,1731823,Recolectado,2021-01-31T17:24:15.185Z,'
1113227,1001820337,1731811,Recolectado,2021-01-31T17:19:41.706Z,'
1113171,1001820198,1731736,Recolectado,2021-01-31T17:02:14.681Z,'
1113166,3001820249,1731721,Recolectado,2021-01-31T17:00:11.944Z,'
1113161,3001820170,1731714,Recolectado,2021-01-31T17:00:09.910Z,'
1113146,3001820187,1731701,Recolectado,2021-01-31T16:57:35.188Z,'
1113146,3001820187,1731700,Recolectado,2021-01-31T16:57:32.302Z,'
1113146,3001820187,1731699,Recolectado,2021-01-31T16:57:30.982Z,'
1113143,1001820181,1731694,Recolectado,2021-01-31T16:56:09.433Z,'
1113104,3001820131,1731637,Recolectado,2021-01-31T16:38:24.209Z,'
1113088,3001820122,1731618,Recolectado,2021-01-31T16:31:19.306Z,'
1113074,3001820115,1731601,Recolectado,2021-01-31T16:29:33.809Z,'
1113018,3001820080,1731538,Recolectado,2021-01-31T16:15:05.640Z,'
1113003,3001819981,1731501,Recolectado,2021-01-31T16:08:48.510Z,'
1112994,3001820062,1731490,Recolectado,2021-01-31T16:05:02.797Z,'
1112960,1001819953,1731445,Recolectado,2021-01-31T15:55:36.402Z,'
1112935,3001819818,1731402,Recolectado,2021-01-31T15:45:58.037Z,'
1112916,3001819905,1731377,Recolectado,2021-01-31T15:36:44.115Z,'
1112916,3001819905,1731376,Recolectado,2021-01-31T15:36:42.985Z,'
1112801,1001819713,1731225,Recolectado,2021-01-31T14:26:58.926Z,'
1112785,1001819634,1731206,Recolectado,2021-01-31T14:15:27.204Z,'
1112784,1001819701,1731205,Recolectado,2021-01-31T14:15:15.508Z,'
1112779,3001819630,1731200,Recolectado,2021-01-31T14:14:21.122Z,'
1112778,3001819698,1731199,Recolectado,2021-01-31T14:12:33.978Z,'
1112763,3001819616,1731183,Recolectado,2021-01-31T13:31:18.695Z,'
1112738,3001819665,1731152,Recolectado,2021-01-31T12:39:13.698Z,'
1112725,3001819589,1731135,Recolectado,2021-01-31T10:47:29.605Z,'
1112689,3001819519,1731085,Recolectado,2021-01-31T08:54:04.928Z,'
1112655,1001819495,1731040,Recolectado,2021-01-31T08:11:26.589Z,'
1112607,3001819421,1730979,Recolectado,2021-01-31T07:18:05.703Z,'
1112604,3001819310,1730975,Recolectado,2021-01-31T07:16:38.869Z,'
1112541,3001819261,1730890,Recolectado,2021-01-31T06:41:33.891Z,'
1112491,1001819207,1730821,Recolectado,2021-01-31T06:13:47.423Z,'
1112491,1001819207,1730820,Recolectado,2021-01-31T06:13:45.843Z,'
1112491,1001819207,1730819,Recolectado,2021-01-31T06:13:44.380Z,'
1112490,3001819206,1730818,Recolectado,2021-01-31T06:13:17.167Z,'
1112447,1001819114,1730755,Recolectado,2021-01-31T05:44:11.725Z,'
1112442,1001819176,1730748,Recolectado,2021-01-31T05:42:22.405Z,'
1112442,1001819176,1730747,Recolectado,2021-01-31T05:42:21.051Z,'
1112415,1001819062,1730718,Recolectado,2021-01-31T05:31:17.375Z,'
1112415,1001819062,1730717,Recolectado,2021-01-31T05:31:16.226Z,'
