Order Id, Order Ref, Fulfilment Id, Status, CreatedOn
1299482,1002097884,1977049,Recolectado,2021-04-17T04:20:04.820Z,
1298245,3002096188,1975546,Recolectado,2021-04-16T20:20:55.837Z,
1298210,1002096080,1975507,Recolectado,2021-04-16T20:11:22.264Z,
1298137,3002096001,1975422,Recolectado,2021-04-16T19:44:44.028Z,
1298121,1002095982,1975398,Recolectado,2021-04-16T19:35:50.495Z,
1297738,1002095465,1974947,Recolectado,2021-04-16T17:18:01.930Z,
1297622,1002095257,1974809,Recolectado,2021-04-16T16:33:07.711Z,
1297449,1002094994,1974590,Recolectado,2021-04-16T15:20:51.099Z,
1297374,3002094831,1974501,Recolectado,2021-04-16T14:42:31.144Z,
1297291,3002094845,1974398,Recolectado,2021-04-16T13:42:13.937Z,
1297155,3002094520,1974243,Recolectado,2021-04-16T07:31:40.856Z,
1297149,1002094511,1974235,Recolectado,2021-04-16T07:25:25.373Z,
1296987,3002094239,1974045,Recolectado,2021-04-16T04:43:49.017Z,
1296878,1002094078,1973915,Recolectado,2021-04-16T04:08:18.367Z,
1296878,1002094078,1973914,Recolectado,2021-04-16T04:08:16.423Z,
1296878,1002094078,1973913,Recolectado,2021-04-16T04:08:15.055Z,
1296836,3002093990,1973865,Recolectado,2021-04-16T03:51:40.030Z,
1296785,1002093955,1973803,Recolectado,2021-04-16T03:39:12.905Z,
1296717,3002093880,1973722,Recolectado,2021-04-16T03:12:42.931Z,
1296647,1002093728,1973634,Recolectado,2021-04-16T02:51:13.340Z,
1296647,1002093728,1973633,Recolectado,2021-04-16T02:51:11.936Z,
1296641,3002093773,1973620,Recolectado,2021-04-16T02:46:07.765Z,
1296513,3002093505,1973467,Recolectado,2021-04-16T01:55:41.259Z,
1296411,1002093406,1973346,Recolectado,2021-04-16T01:25:52.662Z,
1296132,1002093036,1972988,Recolectado,2021-04-15T23:38:27.377Z,
1296000,1002092808,1972834,Recolectado,2021-04-15T22:46:18.123Z,
1295980,1002092853,1972812,Recolectado,2021-04-15T22:41:13.664Z,
1295812,1002092676,1972606,Recolectado,2021-04-15T21:40:35.052Z,
1295570,2002092231,1972307,Recolectado,2021-04-15T20:00:45.416Z,
1295553,1002092218,1972286,Recolectado,2021-04-15T19:55:20.745Z,
1295516,3002092186,1972243,Recolectado,2021-04-15T19:38:51.122Z,
1295374,1002092003,1972061,Recolectado,2021-04-15T18:43:57.034Z,
1295374,1002092003,1972060,Recolectado,2021-04-15T18:43:54.138Z,
1295346,1002091944,1972024,Recolectado,2021-04-15T18:31:10.247Z,
1295340,1002091974,1972020,Recolectado,2021-04-15T18:29:59.509Z,
1295273,3002091801,1971940,Recolectado,2021-04-15T18:04:38.634Z,
1295261,1002091849,1971928,Recolectado,2021-04-15T18:01:42.753Z,
1295193,1002091732,1971846,Recolectado,2021-04-15T17:35:48.792Z,
1295099,2002091661,1971731,Recolectado,2021-04-15T17:00:03.446Z,
1295099,2002091661,1971730,Recolectado,2021-04-15T17:00:01.374Z,
1295093,2002091555,1971719,Recolectado,2021-04-15T16:55:47.102Z,
1295057,3002091329,1971679,Recolectado,2021-04-15T16:30:22.913Z,
1295020,3002091308,1971635,Recolectado,2021-04-15T16:17:57.370Z,
1294992,3002091433,1971602,Recolectado,2021-04-15T16:09:56.072Z,
1294990,1002091430,1971600,Recolectado,2021-04-15T16:08:33.096Z,
1294979,1002091419,1971588,Recolectado,2021-04-15T16:00:59.714Z,
1294943,1002091279,1971550,Recolectado,2021-04-15T15:45:44.838Z,
1294930,1002091364,1971535,Recolectado,2021-04-15T15:41:20.744Z,
1294887,1002091240,1971484,Recolectado,2021-04-15T15:20:02.405Z,
1294828,1002091162,1971412,Recolectado,2021-04-15T14:45:17.051Z,
1294752,3002091061,1971324,Recolectado,2021-04-15T14:00:04.634Z,
1294718,3002091049,1971287,Recolectado,2021-04-15T13:34:28.145Z,
1294655,3002090889,1971212,Recolectado,2021-04-15T11:53:22.026Z,
1294585,3002090787,1971114,Recolectado,2021-04-15T06:45:04.260Z,
1294442,3002090574,1970950,Recolectado,2021-04-15T04:32:22.619Z,
1294436,3002090397,1970943,Recolectado,2021-04-15T04:30:59.717Z,
1294430,3002090563,1970934,Recolectado,2021-04-15T04:28:07.231Z,
1294427,1002090395,1970929,Recolectado,2021-04-15T04:27:23.004Z,
1294419,1002090551,1970920,Recolectado,2021-04-15T04:23:52.157Z,
1294393,3002090387,1970888,Recolectado,2021-04-15T04:15:22.187Z,
1294333,3002090478,1970809,Recolectado,2021-04-15T03:53:27.647Z,
1294316,3002090461,1970789,Recolectado,2021-04-15T03:48:59.691Z,
1294291,3002090341,1970759,Recolectado,2021-04-15T03:43:57.196Z,
1294267,3002090131,1970726,Recolectado,2021-04-15T03:31:58.266Z,
1294266,3002090130,1970725,Recolectado,2021-04-15T03:31:43.932Z,
1294249,3002090122,1970706,Recolectado,2021-04-15T03:28:27.636Z,
1294238,3002090119,1970691,Recolectado,2021-04-15T03:25:16.985Z,
1294199,1002090232,1970642,Recolectado,2021-04-15T03:15:03.090Z,
1294191,3002090235,1970634,Recolectado,2021-04-15T03:11:04.803Z,
