Order Id, Order Ref, Fulfilment Id, Status, CreatedOn
1268110,3002051423,1939028,Recolectado,2021-03-31T23:48:13.924Z,
1267267,2002050306,1939027,Recolectado,2021-03-31T23:48:11.822Z,
1268107,1002051609,1939024,Recolectado,2021-03-31T23:47:09.276Z,
1268104,3002051413,1939017,Recolectado,2021-03-31T23:46:07.543Z,
1268085,2002051585,1939000,Recolectado,2021-03-31T23:39:27.530Z,
1268083,3002051584,1938998,Recolectado,2021-03-31T23:39:14.021Z,
1268063,2002051558,1938969,Recolectado,2021-03-31T23:30:12.030Z,
1268061,3002051404,1938966,Recolectado,2021-03-31T23:28:27.451Z,
1268055,3002051545,1938959,Recolectado,2021-03-31T23:24:48.103Z,
1268037,1002051526,1938936,Recolectado,2021-03-31T23:15:33.887Z,
1268018,1002051506,1938913,Recolectado,2021-03-31T23:07:06.813Z,
1268005,2002051492,1938899,Recolectado,2021-03-31T23:02:29.123Z,
1267983,2002051368,1938872,Recolectado,2021-03-31T22:55:05.436Z,
1267979,3002051367,1938868,Recolectado,2021-03-31T22:53:45.243Z,
1267977,3002051365,1938864,Recolectado,2021-03-31T22:52:22.613Z,
1267971,2002051462,1938858,Recolectado,2021-03-31T22:51:03.377Z,
1267968,2002051459,1938855,Recolectado,2021-03-31T22:49:01.994Z,
1267941,3002051304,1938821,Recolectado,2021-03-31T22:31:07.632Z,
1267931,3002051315,1938814,Recolectado,2021-03-31T22:28:18.575Z,
1267929,1002051341,1938812,Recolectado,2021-03-31T22:27:08.254Z,
1267920,1002051303,1938802,Recolectado,2021-03-31T22:23:15.973Z,
1267905,1002051283,1938785,Recolectado,2021-03-31T22:16:45.316Z,
1267905,1002051283,1938784,Recolectado,2021-03-31T22:16:44.100Z,
1267894,1002051273,1938775,Recolectado,2021-03-31T22:08:19.494Z,
1267879,1002051115,1938758,Recolectado,2021-03-31T22:00:05.114Z,
1267868,1002051112,1938745,Recolectado,2021-03-31T21:49:27.283Z,
1267854,3002051229,1938729,Recolectado,2021-03-31T21:44:57.576Z,
1267846,1002051220,1938720,Recolectado,2021-03-31T21:38:27.131Z,
1267821,1002051193,1938693,Recolectado,2021-03-31T21:24:48.652Z,
1267810,1002051180,1938681,Recolectado,2021-03-31T21:19:42.923Z,
1267799,1002051173,1938667,Recolectado,2021-03-31T21:15:57.963Z,
1267779,1002051159,1938643,Recolectado,2021-03-31T21:06:22.090Z,
